plateforme,dictionnaire,nb_entrees,requêtes
Ntealan,duala-français,192,
Ntealan,ŋk̀ùnàbémbé-français,281,
Ntealan,oku-english,200,
Ntealan,Eton-français,103,
Ntealan,feefee-français,811,
Ntealan,yemba-français,3032,
Ntealan,soninké-français-anglais,7182,
Ntealan,fulfulde-français,6779,
Ntealan,ndemli-français,221,
Ntealan,bassa-français,728,
Ntealan,bambara-français,11487,
Ntealan,medʉmba-francais,238,
Ntealan,ŋgəmba-français,207,
Ntealan,ghomala-français,840,
Ntealan,mafa-francais,224,
Ntealan,yangben-français,205,
Ntealan,ejagham-francais,201,
LeoDict,Français-Allemand,271892,360940
LeoDict,Anglais-Allemand,834799,2019532
LeoDict,Espagnol-Allemand,230221,384336
LeoDict,Italien-Allemand,229249,300882
LeoDict,Chinois-Allemand,214940,113584
LeoDict,Russe-Allemand,312909,162622
LeoDict,Portugais-Allemand,132214,104239
LeoDict,Polonais-Allemand,82445,46002
LeoDict,Anglais-Espagnol,159638,45632
